Special Price:,Now only:
My Wishlist,Wishlist
My Wishlist (%d item),Wishlist (%d)
My Wishlist (%d items),Wishlist (%d)
My Account,Account
Cart,Cart
View Cart,View Cart
View all items in your shopping cart,View all items in your shopping cart
View All,View All
Compare,Compare
Compare Products,Compare Products
Compare all selected items,Compare all selected items
Currency,Currency
Language,Language
Sign Up,Sign Up
Enter your e-mail,Enter your e-mail
Click to see more products from %s,Click to see more products from %s
Related Products,Related
Zoom,Zoom
image {current} of {total},{current} / {total}
New,New
Sale,Sale
Categories,Categories
Menu,Menu
Email to a Friend,Share
Product Tags,Tags
Product Description,Chi tiết sản phẩm
Additional Information,Thông tin khác
Other Products,Other Products
Manufacturer,Nhà sản xuất
Additional Info,Thông tin khác
Manufacturer:,Nhà sản xuất:
Orders and Returns,Đổi trả
Products Sitemap,Sơ đồ sản phẩm
Site Map,Sơ đồ trang web
Contact Us,Liên hệ
Estimate Shipping and Tax,Chi phí vận chuyển
Enter your destination to get a shipping estimate.,Nhập địa chỉ cần chuyển để tính chi phí
Get a Quote,Tính phí
Subtotal,Tổng hàng hóa
Grand Total,Tổng đơn hàng
Zip/Postal Code,Mã vùng
Back to Shopping Cart,Quay về giỏ hàng
Forgot an Item?,Thêm/bỏ hàng?
Country,Nước
Sample info about SSL Certificate,Thanh toán bảo mật SSL
Special Price:,Now only:
My Wishlist,Wishlist
My Wishlist (%d item),Wishlist (%d)
My Wishlist (%d items),Wishlist (%d)
My Account,Account
Cart,Cart
View Cart,View Cart
View all items in your shopping cart,View all items in your shopping cart
View All,View All
Compare,Compare
Compare Products,Compare Products
Compare all selected items,Compare all selected items
Currency,Currency
Language,Language
Sign Up,Sign Up
Enter your e-mail,Enter your e-mail
Click to see more products from %s,Click to see more products from %s
Related Products,Related
Zoom,Zoom
image {current} of {total},{current} / {total}
New,New
Sale,Sale
Categories,Categories
Menu,Menu
Email to a Friend,Share
Product Tags,Tags
Product Description,Chi tiết sản phẩm
Additional Information,Thông tin khác
Other Products,Other Products
Manufacturer,Hãng
Additional Info,Thông tin khác
Manufacturer:,Hãng:
Orders and Returns,Đổi trả
Products Sitemap,Sơ đồ sản phẩm
Site Map,Sơ đồ trang web
Contact Us,Liên hệ
Estimate Shipping and Tax,Chi phí vận chuyển
Enter your destination to get a shipping estimate.,Nhập địa chỉ cần chuyển để tính chi phí
Get a Quote,Tính phí
Subtotal,Tổng hàng hóa
Grand Total,Tổng đơn hàng
Zip/Postal Code,Mã vùng
Back to Shopping Cart,Quay về giỏ hàng
Forgot an Item?,Thêm/bỏ hàng?
Country,Nước
Sample info about SSL Certificate,Thanh toán bảo mật SSL
Advanced Search,Tìm kiếm nâng cao
Availability:,Trạng thái:
In stock,Còn hàng
Newsletter,Nhân bản tin
Special Price,Giá buôn
Special Price:,Giá buôn
Shop By,Tìm theo
Related,Sản phẩm liên quan
Credit Card (saved),Thẻ tín dụng (đã lưu)
Filter,Lọc
Categories:,Nhóm sản phẩm
Short Description,Tóm tắt sản phẩm
Manufacturer,Hãng
