"Zip/Postal Code","Zip Code"
"State/Province","Thành phố"
"State","Thành phố"
"Billing address","Địa Chỉ Giao Hàng"
"Already registered? Click here to login.","Already registered? Click here to login."
"Create an account for later use","Create an account for later use"
"Ship to the same address","Ship to the same address"
"Shipping method","Shipping method"
"Payment method","Phương Thức Thanh Toán"
"Review your order","Tổng Kết Đơn Hàng"
"Product","Product"
"Qty","Qty"
"Subtotal","Subtotal"
"Subscribe to our newsletter","Subscribe to our newsletter"
"Tax","Tax"
"Grand total","Tổng"
"Please choose a shipping method.","Please choose a shipping method."
"Please choose a payment method.","Please choose a payment method."
"Please enter valid details below.","Please enter valid details below."
"Please check red fields below and try again.","Vui lòng check các trường bên dưới và thử lại."
"Login","Login"
"Please login with your email address and password.","Xin vui lòng đăng nhập với địa chỉ email và mật khẩu của bạn."
"Email address","Địa chỉ email"
"Password","Password"
"Confirm password","Confirm password"
"Forgotten your password?","Quên mật khẩu?"
"Close","Close"
"Login","Login"
"Please enter a username and password.","Vui lòng nhập tên đăng nhập và mật khẩu."
"Invalid login or password.","Invalid login or password."
"Enter your email below and we'll send you a new password by email.","Enter your email below and we'll send you a new password by email."
"Send password","Send password"
"Return to login","Return to login"
"Please enter a valid email address","Please enter a valid email address"
"Please enter a registered email address.","Please enter a registered email address."
"Invalid email address.","Invalid email address."
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Địa chỉ email đã tồn tại. Vui lòng <a href=""#"" onclick=""login_popup.show(); return false;"">đăng nhập</a> hoặc sử dụng 1 địa chỉ email khác."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>"
"Comments","Ý kiến khác của bạn về đơn hàng này"
"You need to have products in your cart to checkout, and your cart is empty.","You need to have products in your cart to checkout, and your cart is empty."
"Back to homepage","Back to homepage"
"Coupon code:","Coupon code:"
"Apply Coupon","Apply Coupon"
"Please enter a valid coupon code.","Thông báo khi chưa nhập coupon code."
"Cancel Coupon","Cancel Coupon"
"Shipping address","Shipping address"
"How did you hear about us?","How did you hear about us?"
"Please choose","Please choose"
"Other","Other"
"Please specify:","Please specify:"
"Shipping Method","Hình thức giao hàng"
"Create an account for later use","Tạo tài khoản để đăng nhập lần sau"
"Confirm password","Xác nhận mật khẩu"
"Gift Cards","Nhập mã thẻ mua hàng (nếu có)"
"Place order now","Thanh toán"
"Flat Rate","Vận chuyển"
"Please wait, processing your order...","Vui lòng đợi trong giây lát, đơn hàng của bạn đang được xử lý"
"Shipment","Phí giao hàng"
"Shipping","Phí giao hàng"
"Check / Money Order","Tiền mặt / Chuyển khoản"
"Checkout","Thanh toán đơn hàng"

