"%s was successfully added to your shopping cart.","%s đã được thêm thành công vào giỏ hàng của bạn."
"%s was added to your shopping cart.","%s đã được thêm vào giỏ hàng."
"&laquo; Back to Billing Information","&laquo; Quay lại thông tin hóa đơn"
"&laquo; Back to Select Addresses","&laquo; Quay lại để lựa chọn địa chỉ"
"&laquo; Back to Shopping Cart","&laquo; Quay lại để mua hàng"
"* Required Fields","* Trường bắt buộc"
"Add New Address","Thêm địa chỉ mới"
"Add New Condition","Thêm mới điều kiện"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào so sánh"
"Add to Wishlist","Thêm vào mục Mong muốn"
"Address","Địa chỉ"
"Address %s of %s","Địa chỉ %s của %s"
"After adding a product redirect to shopping cart","Sau khi thêm 1 sản phẩm thì chuyển đến giỏ hàng"
"Allow Guest Checkout","Cho phép khách thanh toán"
"Already registered?","Đã đăng ký?"
"An error occurred in the process of payment","Có lỗi xảy ra khi xử lý thanh toán"
"Apply Coupon","Áp dụng"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc muốn xóa sản phẩm này từ giỏ hàng?"
"Back","Quay lại"
"Back to Shipping Information","Quay lại thông tin vận chuyển"
"Based on your selection, you may be interested in the following items:","Dựa trên lựa chọn của bạn, bạn có thể thấy thú vị trong sản phẩm theo đó:"
"Billing Address","Địa chỉ thanh toán"
"Billing Information","Thông tin thanh toán"
"Billing Information - %s","Thông tin thanh toán - %s"
"Can not add item to shopping cart","Không thể thêm mục vào giỏ mua hàng"
"Can not apply coupon code.","Không thể áp dụng phiếu mua hàng."
"Can't open overview page","Không thể mở trang xem trước"
"Cancel Coupon","Hủy bỏ Mã giảm giá"
"Cannot remove item","Không thể xóa mục"
"Cannot update shopping cart","Không thể cập nhật giỏ hàng"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Subtotal:","Tổng tiền:"
"Change","Thay đổi"
"Change Billing Address","Thay đổi địa chỉ hóa đơn"
"Checkbox text","Checkbox text"
"Checkout",Thanh toán"
"Checkout Conditions","Điều kiện thanh toán"
"Checkout Options","Lựa chọn thanh toán"
"Checkout Section","Thanh toán Section"
"Checkout Terms and Conditions","Điều khoản thanh toán"
"Checkout as Guest","Thanh toán như Khách"
"Checkout as a Guest or Register","Thanh toán như Khách hoặc đăng ký"
"Checkout method","Phương thức thanh toán"
"Checkout with Multiple Addresses","Thanh toán với nhiều địa chỉ"
"City","Thành phố"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Bấm <a href=""%s"" onclick=""this.target='_blank'"">vào đây để in</a> một bản sao xác nhận đơn hàng của bạn."
"Close","Đóng"
"Company","Công ty"
"Condition Name","Tên điều kiện"
"Condition was successfully deleted","Điều kiện đã được xóa thành công"
"Condition was successfully saved","Điều kiện đã được lưu thành công"
"Configurable product image","Cấu hình ảnh sản phẩm"
"Confirm Password","Nhập lại mật khẩu"
"Content","Nội dung"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Tiếp tục"
"Continue Shopping","Tiếp tục mua hàng"
"Continue to Billing Information","Tiếp tục đến thông tin thanh toán"
"Continue to Review Your Order","Tiếp tục đến xem trước đơn hàng của bạn"
"Continue to Shipping Information","Tiếp tục đến thông tin vận chuyển"
"Country","Đất nước"
"Coupon code ""%s"" is not valid.","Mã giảm giá ""%s"" không đúng."
"Coupon code ""%s"" was applied successfully.","Mã giảm giá ""%s"" đã áp dụng thành công."
"Coupon code was canceled successfully.","Mã giảm giá đã thoát thành công."
