sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,ebizmarts_mark_visited,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
xenical-120mg,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:31",,,,,"Mang lại sự mềm mượt và nhẹ nhàng cho mái tóc,
Dưỡng ẩm cho tóc, trả lại cho tóc sức sống và độ bóng mượt",,,,0,,,N/A,,"Mang lại sự mềm mượt và nhẹ nhàng cho mái tóc,
Dưỡng ẩm cho tóc, trả lại cho tóc sức sống và độ bóng mượt","DUCRAY EXTRA GENTLE HYDRATING SHAMPOO 125ML","DUCRAY EXTRA GENTLE HYDRATING SHAMPOO 125ML",,144000.0000,"Use config","Use config","DUCRAY EXTRA GENTLE HYDRATING SHAMPOO 125ML",,,"Product Info Column",,1500000.0000,0,"Mang lại sự mềm mượt và nhẹ nhàng cho mái tóc,
Dưỡng ẩm cho tóc, trả lại cho tóc sức sống và độ bóng mượt",,,,,,1,0,,,"2016-04-24 16:34:01",xenical-120mg,xenical-120mg.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,1500000.0000,,,,,
viplena-120mg,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Aknicare Cleanser dùng  tẩy tế bào chết và kháng khuẩn cho chỗ da nhờn dễ bị tổn thương. Sữa rửa mặt này là dành cho da trưởng thành cần tẩy da chết.",,,,0,,,N/A,,"Aknicare Cleanser dùng  tẩy tế bào chết và kháng khuẩn cho chỗ da nhờn dễ bị tổn thương. Sữa rửa mặt này là dành cho da trưởng thành cần tẩy da chết.","Aknicare Cleanser 200ml","Aknicare Cleanser 200ml",,1550000.0000,"Use config","Use config","Aknicare Cleanser 200ml",,,"Product Info Column",,290000.0000,0,"Aknicare Cleanser dùng  tẩy tế bào chết và kháng khuẩn cho chỗ da nhờn dễ bị tổn thương. Sữa rửa mặt này là dành cho da trưởng thành cần tẩy da chết.",,,,,,1,0,,,"2016-04-24 16:34:01",viplena-120mg,viplena-120mg.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,290000.0000,,,,,
viamax-volumizer,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Điều trị rối loạn kinh nguyệt, vô kinh bắt đầu 8 tuần sau chu kỳ kinh cuối. Hội chứng tiền kinh nguyệt, bệnh tuyến vú.",,,,0,,,Bayer,,"Điều trị rối loạn kinh nguyệt, vô kinh bắt đầu 8 tuần sau chu kỳ kinh cuối. Hội chứng tiền kinh nguyệt, bệnh tuyến vú.","PRIMOLUT-N 5MG","PRIMOLUT-N 5MG",,50000.0000,"Use config","Use config","PRIMOLUT-N 5MG",,,"Product Info Column",,1200000.0000,0,"Điều trị rối loạn kinh nguyệt, vô kinh bắt đầu 8 tuần sau chu kỳ kinh cuối. Hội chứng tiền kinh nguyệt, bệnh tuyến vú.",,,,,,1,0,,,"2016-04-24 16:34:01",viamax-volumizer,viamax-volumizer.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,1200000.0000,,,,,
"viamax volumizer",,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"60 viên/lọ,Là sự kết hợp hoàn hảo và cân bằng giữa các Vitamin, khoáng chất và dược liệu quý đặc biệt được lựa chon giúp làm giải phóng testosterone tự nhiên của cơ thể, tăng số lượng và chất lượng tinh trùng, từ đó làm tăng khả năng sinh sản của Nam giới, hiếm muộn,L-Arginine HCL 150 mg: Nghiên cứu cho thấy tinh trùng và thể tích tinh dịch tăng gấp đôi, cải thiện khả năng sinh sản và sức khỏe tinh trùng (ngay cả trong số những người đàn ông có số lượng tinh trùng thấp hoặc khả năng di chuyển của tinh trùng kém),L-lysine 100 mg: Các nhà nghiên cứu thấy rằng các axit amin này cộng với kẽm giúp tăng số tinh trùng được sản xuất, kích thích sản xuất testosterone, và cải thiện chất lượng tinh dịch. ,Epimedium Sagittatum 100 mg: Đôi khi được gọi là ” cỏ sừng dê”, dược phẩm này làm tăng ham muốn tình dục cũng như lượng testosterone cần thiết cho quá trình sản xuất tinh trùng.,ZINC OXIDE 50 mg: Các nghiên cứu đã cho thấy nó giúp tăng số lượng tinh trùng và khả năng di chuyển của tinh trùng từ 80% đến 200% bằng cách trợ giúp tổng hợp testosterone.,L-Carnitine: Loại acid amin này được tìm thấy nhiều trong tinh trùng khỏe mạnh. Đã được chứng minh làm tăng đáng kể tỷ lệ phần trăm của tinh trùng có khả năng vận động cao. ,Selenium: Vỏ cây CATUABA là một loại thảo dược của Brazil làm tăng cường ham muốn tình dục, và cung cấp chất dinh dưỡng cho toàn bộ hệ thống sinh sản nam. Hạt bí ngô CATUABA : Hỗ trợ việc sản xuất hormone tuyến tiền liệt., ,Ngày uống 2 viên sau bữa ăn sáng
",,,,0,,,N/A,,"Thuốc Viamax Volumizer cho đàn ông hiếm muộn là sự kết hợp hoàn hảo và cân bằng giữa các Vitamin, khoáng chất và dược liệu quý đặc biệt được lựa chon giúp làm giải phóng testosterone tự nhiên của cơ thể
","VIAMAX VOLUMIZER","VIAMAX VOLUMIZER",,1500000.0000,"Use config","Use config","VIAMAX VOLUMIZER",,,"Product Info Column",,1400000.0000,0,"Thuốc Viamax Volumizer cho đàn ông hiếm muộn là sự kết hợp hoàn hảo và cân bằng giữa các Vitamin, khoáng chất và dược liệu quý đặc biệt được lựa chon giúp làm giải phóng testosterone tự nhiên của cơ thể
",,,,,,1,0,,,"2016-04-24 14:16:01",viamax-volumizer,viamax-volumizer-257.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,1400000.0000,,,,,
tilcotil,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Thuốc Tilcotil hộp 30 viên thành phần Tenoxicam 20mg chỉ định bệnh viêm thấp khớp mãn, nhất là viêm đa khớp dạng thấp, viêm cứng khớp",,,,0,,,N/A,,"Thuốc Tilcotil hộp 30 viên thành phần Tenoxicam 20mg chỉ định bệnh viêm thấp khớp mãn, nhất là viêm đa khớp dạng thấp, viêm cứng khớp",TILCOTIL,TILCOTIL,,290000.0000,"Use config","Use config",TILCOTIL,,,"Product Info Column",,1350000.0000,0,"Thuốc Tilcotil hộp 30 viên thành phần Tenoxicam 20mg chỉ định bệnh viêm thấp khớp mãn, nhất là viêm đa khớp dạng thấp, viêm cứng khớp",,,,,,1,0,,,"2016-04-24 16:34:01",tilcotil,tilcotil.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,1350000.0000,,,,,
hoang-to-nu,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Hoàng tố nữ là sản phẩm 100% tinh chất thiên nhiên, ",,,,0,,,N/A,,"Hoàng tố nữ là sản phẩm 100% tinh chất thiên nhiên.","HOÀNG TỐ NỮ","HOÀNG TỐ NỮ",,110000.0000,"Use config","Use config","HOÀNG TỐ NỮ",,,"Product Info Column",,90000.0000,0,"Hoàng tố nữ là sản phẩm 100% tinh chất thiên nhiên, được sản xuất dựa trên những kinh nghiệm bí truyền có tác dụng hỗ trợ làm giảm lượng khí hư hay huyết trắng bệnh lý, hiệu quả và an toàn với cơ thể.,
",,,,,,1,0,,,"2016-04-24 16:34:01",hoang-to-nu,hoang-to-nu.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,90000.0000,,,,,
rung-toc-nu-foltene,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Clorpheniramin Maleat 4mg",,,,0,,,N/A,,"Clorpheniramin Maleat 4mg","Clorpheniramin Maleat 4mg","Clorpheniramin Maleat 4mg",,56000.0000,"Use config","Use config","Clorpheniramin Maleat 4mg",,,"Product Info Column",,50000.0000,0,"Clorpheniramin Maleat 4mg",,,,,,1,0,,,"2016-04-24 16:34:01",rung-toc-nu-foltene,rung-toc-nu-foltene.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,50000.0000,,,,,
reabilar,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Thuốc Reabilar 100% taxifolin chống oxy hóa hoàn toàn tự nhiên, giúp củng cố hệ thống miễn dịch, đào thải chất độc trong máu và tế bào, bảo vệ tế bào nhờ hạn chế tác hại sau khi điều trị hóa, xạ trị.",,,,0,,,N/A,,"Thuốc Reabilar 100% taxifolin chống oxy hóa hoàn toàn tự nhiên, giúp củng cố hệ thống miễn dịch, đào thải chất độc trong máu và tế bào, bảo vệ tế bào nhờ hạn chế tác hại sau khi điều trị hóa, xạ trị.",REABILAR,REABILAR,,1200000.0000,"Use config","Use config",REABILAR,,,"Product Info Column",,110000.0000,0,"Thuốc Reabilar 100% taxifolin chống oxy hóa hoàn toàn tự nhiên, giúp củng cố hệ thống miễn dịch, đào thải chất độc trong máu và tế bào, bảo vệ tế bào nhờ hạn chế tác hại sau khi điều trị hóa, xạ trị.",,,,,,1,0,,,"2016-04-24 16:34:01",reabilar,reabilar.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,110000.0000,,,,,
phu-lac-cao,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Phụ Lạc Cao giúp điều trị hiệu quả chứng đau bụng kinh. Hiệu quả trong điều trị các chứng ứ huyết của phụ nữ dẫn đến kinh nguyệt không đều, đau bụng khi hành kinh. Hiệu quả trong điều trị chứng lạc nội mạc tử cung thể nhẹ và vừa. Phòng ngừa tái phát đối với chứng lạc nội mạc tử cung nặng đã qua phẫu thuật.,
",,,,0,,,N/A,,"Phụ Lạc Cao giúp điều trị hiệu quả chứng đau bụng kinh.","PHỤ LẠC CAO","PHỤ LẠC CAO",,300000.0000,"Use config","Use config","PHỤ LẠC CAO",,,"Product Info Column",,300000.0000,0,"Phụ Lạc Cao giúp điều trị hiệu quả chứng đau bụng kinh. Hiệu quả trong điều trị các chứng ứ huyết của phụ nữ dẫn đến kinh nguyệt không đều, đau bụng khi hành kinh. Hiệu quả trong điều trị chứng lạc nội mạc tử cung thể nhẹ và vừa. Phòng ngừa tái phát đối với chứng lạc nội mạc tử cung nặng đã qua phẫu thuật.,
",,,,,,1,0,,,"2016-04-24 16:34:01",phu-lac-cao,phu-lac-cao.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,300000.0000,,,,,
tricalgoxyl,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Tricalgoxyl®, chất thúc đẩy mọc tóc độc quyền của FOLTÈNE®, giàu các loại Mucopolysaccharide chiết xuất từ tảo, có tác dụng giúp nang tóc phục hồi và phát triển khỏe mạnh, tăng cường lưu thông máu đến nang tóc, chống và ngăn ngừa rụng tóc, kích thích tóc mọc tự nhiên.,
",,,,0,,,N/A,,"Tricalgoxyl®, chất thúc đẩy mọc tóc độc quyền của FOLTÈNE®","Trị rụng tóc nữ FOLTÈNE","Trị rụng tóc nữ FOLTÈNE",,810000.0000,"Use config","Use config","Trị rụng tóc nữ FOLTÈNE",,,"Product Info Column",,290000.0000,0,"Tricalgoxyl®, chất thúc đẩy mọc tóc độc quyền của FOLTÈNE®, giàu các loại Mucopolysaccharide chiết xuất từ tảo, có tác dụng giúp nang tóc phục hồi và phát triển khỏe mạnh, tăng cường lưu thông máu đến nang tóc, chống và ngăn ngừa rụng tóc, kích thích tóc mọc tự nhiên.,
",,,,,,1,0,,,"2016-04-24 16:34:01",tricalgoxyl,tricalgoxyl.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,290000.0000,,,,,
