websites,store,attribute_set,type,sku,name,categories_text,deal_start_time,deal_stop_time,price,special_price,cost,weight,price_unit,price_unit_origin,market_price,status,tax_class_id,visibility,landing_page,product_unit,tilbud,netpris,calculated_unit,weight_unit,has_deal,special_from_date,description,short_description,meta_keyword,qty,product_name,meta_title,meta_description,aktuelt,retter,pant_sku,alphabetAtribute
base,admin,Default,simple,5050083383717,Kellogg's Cornflakes,Kolonial>Morgenmad;Produkter>Fødevarer,,,29.95,,,600,49.92,,,Disabled,DK25,"Catalog, Search",NORDISK KELLOGG,Kg,No,No,Gram,Kg,,,"Kellogg's Cornflakes indeholder majs, sukker, bygmalt, salt.",Dagligvarer Kolonial Morgenmad,"kellog, kellog's, kellogs, cornflakes, morgenmad, kornflakes",9999,Kellogg's Cornflakes,,,,,,
base,admin,Default,simple,5701029026822,Amo Pizzamel,"Kolonial>Mel, Sukker & Bageartikler;Produkter>Fødevarer",,,19.5,,,1,19.5,,,Disabled,DK25,"Catalog, Search",LANTMAENNEN CER,Kg,No,No,Kg,Kg,,,"Hvedemel med højt glutenindhold fremstillet af fintmalede hvedekerner frasigtet kim og skaldele, melbehandlingsmiddel E300.",Dagligvarer Kolonial Mel & Brødblandinger,"amo, bage, brødblanding, pizza, mel, pizzabund, færdigblanding",9999,Amo Pizzamel,,,,,,
base,admin,Default,simple,5738001271000,Kellogg's Special K,Kolonial>Morgenmad;Produkter>Fødevarer,,,33.95,,,500,67.9,,,Disabled,DK25,"Catalog, Search",NORDISK KELLOGG,Kg,No,No,Gram,Kg,,2012-01-17 00:00:00,Kellogg's Special K,Dagligvarer Kolonial Morgenmad,"kellog, kellog's, kellogs, special, morgenmad, kornflakes, cornflakes",9999,Kellogg's Special K,,,,,,
base,admin,Default,simple,7613031631698,Nestlé Havre Cheerios,Kolonial>Morgenmad;Produkter>Fødevarer,,,29.95,,,375,79.87,,,Disabled,DK25,"Catalog, Search",NESTLE DANMARK,Kg,No,No,Gram,Kg,,,"Fuldkornshavre (92 %), sukker, hvedestivelse, mørk sirup, salt, surhedsregulerende middel (trikaliumfosfat)) og antioxidationsmiddel (tocopheroler). Kan indeholde spor af nødder, jordnødder og mælk.",Dagligvarer Kolonial Morgenmad,"nestle, nestlé, havre, cheerios, morgenmad, fuldkorn",9999,Nestlé Havre Cheerios,,,,,,
base,admin,Default,simple,7622300654702,Lu Tuc Garlic & Herbs,Brød & Andet>Kiks;Produkter>Fødevarer,,,9.75,,,100,97.5,,,Disabled,DK25,"Catalog, Search",KRAFT FOODS DAN,Kg,No,No,Gram,Kg,,,Lu Tuc Garlic & Herbs.,Dagligvarer Brød & Kager Kiks mm.,"lu, tuc, garlic, herbs, kiks, snack",9999,Lu Tuc Garlic & Herbs,,,,,,
base,admin,Default,simple,7613031252671,Dolce Gusto Chococino,"Kolonial>Kaffe, The & Kakao;Produkter>Fødevarer",,,44.5,,,0,44.5,,,Disabled,DK25,"Catalog, Search",NESTLE DANMARK,Kg,No,No,Kg,Kg,,,"Dolce Gusto Chococino er en smagfuld blød varm chokolade, lavet på de fineste kakaobønner og afrundet med et udsøgt lag af skummet mælk. Den ultimative nydelse for alle, der elsker smagen af ægte chokolade. 

BEMÆRK: Kapslerne passer udelukkede til Dolce Gusto systemet.","Dagligvarer Kolonial Kaffe, The & Cacao","dolce gusto, chococino, kaffe, instant, kapsel, kapsler, kakao, barista",9999,Dolce Gusto Chococino,,,,,,
base,admin,Default,simple,5702070182505,Livol D-dråber,Personlig Pleje>Helse;Produkter>PersonligPleje,,,25.5,,,100,255,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Kg,No,No,Gram,Kg,,,"Livol Mono NormalD-dråber er til dit barn fra 2 uger til 2 år. D-vitamin er nødvendig for normal vækst, og udvikling af dit barns knogler. Man bør begynde at give sit barn D-vitamin dråber allerede fra 2 ugers alderen, og frem til barnet er omkring 2 år.

Ingredienser:
Kokosolie, D-vitamin (cholecalciferol).",PERSONLIG PLEJE & PARFUME Helse & Vitamin Vitaminer,"livol, D-dråber, vitamin, dråber, kosttilskud",9999,Livol D-dråber,,,,,,
base,admin,Default,simple,7046265603672,Zovir Creme,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,44.95,,,2,22475,,,Disabled,DK25,"Catalog, Search",GLAXOSMITHKLINE,Kg,No,No,Gram,Kg,,,"Zovir anvendes til behandling af infektioner med herpesvirus, fx alvorlige tilfælde af forkølelsessår på læberne, herpes på kønsdelene, helvedesild samt skoldkopper i de få tilfælde, som kræver behandling.

Virker ved at hæmme dannelsen af herpesvirus i herpessmittede celler",PERSONLIG PLEJE & PARFUME Til Baby Babyhudpleje & Hygiejne,"zovir, creme, forkølelsesår, betændelse",9999,Zovir Creme,,,,,,
base,admin,Default,simple,5702070111000,Livol Multi Total Jordbær til Børn,Personlig Pleje>Helse;Produkter>PersonligPleje,,,49.95,,,0,49.95,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Kg,No,No,Kg,Kg,,,"Livol Multi Basis Børn sikrer dit barns daglige behov for tilskud af vitaminer og mineraler. Vitamin D understøtter normal vækst og udvikling af knogler hos dit barn. 

Antal: 100 stk.

Ingredienser:
Sukker, Aromastoffer (jordbær, hindbær, tutti frutti), Stabilisator (polyvinylpyrrolidon), Gelatine, Kartoffelstivelse, Syre (citronsyre), Overfladebehandlingsmidler (magnesiumsalte af fedtsyrer, hydroxypropylmethylcellulose), Majsprotein, Mineral (ferrofumarat).",PERSONLIG PLEJE & PARFUME Helse & Vitamin Vitaminer,"livol, multi, total, børn, vitaminer, piller, kosttilskud",9999,Livol Multi Total Jordbær til Børn,,,,,,
base,admin,Default,simple,5702070130117,Livol Multi Total Voksen Vitaminpiller,Personlig Pleje>Helse;Produkter>PersonligPleje,,,109.95,,,0,109.95,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Kg,No,No,Kg,Kg,,,"Vitaminpillerne er med ekstra B & D-vitamin. 
Livol Multi Total Voksen sikrer dig, at du får de vitaminer og mineraler, du har brug for - hver dag livet igennem.

Ingredienser:
Mineraler (calciumcarbonat, magnesiumhydroxid, ferrofumarat, zinkoxid, cuprisulfat, kaliumjodid, manganosulfat, chromichlorid, natriumselenit, natriummolybdat), vitaminer (retinylacetat, thiaminmononitrat, riboflavin, pyridoxinhydrochlorid, cyanocobalamin, folsyre, nikotinamid, calcium-D-pantothenat, D-biotin, natriumascorbat, cholecalciferol, dl-a-tocopherylacetat), maltodextrin, fyldemiddel (mikrokrystallinsk cellulose), majsstivelse, overfladebehandlingsmidler (magnesiumsalta af fedtsyrer, hydroxypropylmethylcellulose, shellak, tlacum, akaciegummi, carnaubavoks) fugtighedsbevarende middel (glycerol), farvestof (titandioxid), polyfruktose.",PERSONLIG PLEJE & PARFUME Helse & Vitamin Vitaminer,"livol, multi, total, voksen, vitaminpiller, kosttilskud, immunforsvar, vitaminer",9999,Livol Multi Total Voksen Vitaminpiller,,,,,,
base,admin,Default,simple,5702070325001,Futura Let Hostesaft,Personlig Pleje>Helse;Produkter>PersonligPleje,,,49.95,,,200,249.75,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Kg,No,No,Gram,Kg,,,"Host-let, oral opløsning. 

Anvendelse: Slimløsnende naturlægemiddel ved hoste i kortere perioder.

Husk at læse oplysninger i indlægssedlen eller på emballagen samt andre oplysninger.

Ingredienser pr. ml:
98,5 mg ekstrakt af lakridsrod (3:1), svarende til 4,64 mg glycyrrhizinsyre. Ekstraktionsmiddel: Vand.
Hjælpestoffer: Koncentreret amoniakopløsning, ammoniumchlorid (E510), ethanol 96%, methylparahydroxybenzoat (E218), pebermynteolie, polysorbat 80 (E433), propylparahydroxybenzoat (E216), renset vand. Indeholder ethanol 1,1 vol%.",PERSONLIG PLEJE & PARFUME Helse & Vitamin Kosttilskud,"futura, let, hostesaft, slimopløsende, hoste, middel",9999,Futura Let Hostesaft,,,,,,
base,admin,Default,simple,7046260298606,Nicorette Fruitmint Tyggegummi,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,39.95,,,0,39.95,,,Disabled,DK25,"Catalog, Search",MCNEIL,Kg,No,No,Kg,Kg,,,Nicorette Fruitmint Tyggegummi,PERSONLIG PLEJE & PARFUME Apoteket Rygeafvænning,"nicorette, fruitmint, tyggegummi, rygestop, nikotin",9999,Nicorette Fruitmint Tyggegummi,,,,,,
base,admin,Default,simple,7046260298873,Nicorette Fruitmint Tyggegummi,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,57.95,,,0,57.95,,,Disabled,DK25,"Catalog, Search",MCNEIL,Kg,No,No,Kg,Kg,,,Nicorette Fruitmint Tyggegummi,PERSONLIG PLEJE & PARFUME Apoteket Rygeafvænning,"nicorette, fruitmint, tyggegummi, rygestop, nikotin",9999,Nicorette Fruitmint Tyggegummi,,,,,,
