sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,ebizmarts_mark_visited,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
xenical-120mg,,Thuoc,simple,Làm đẹp,Default Category,base,,,,4/24/2016 13:59:31,,,,,"Mang lại sự mềm mượt và nhẹ nhàng cho mái tóc,
Dưỡng ẩm cho tóc, trả lại cho tóc sức sống và độ bóng mượt",,,,0,/ducray_extra_gentle_hydrating.jpg,DUCRAY EXTRA GENTLE HYDRATING SHAMPOO 125ML,N/A,,"Mang lại sự mềm mượt và nhẹ nhàng cho mái tóc,
Dưỡng ẩm cho tóc, trả lại cho tóc sức sống và độ bóng mượt",DUCRAY EXTRA GENTLE HYDRATING SHAMPOO 125ML,DUCRAY EXTRA GENTLE HYDRATING SHAMPOO 125ML,,144000,Use config,Use config,DUCRAY EXTRA GENTLE HYDRATING SHAMPOO 125ML,,,Product Info Column,,1500000,0,"Mang lại sự mềm mượt và nhẹ nhàng cho mái tóc,
Dưỡng ẩm cho tóc, trả lại cho tóc sức sống và độ bóng mượt",/ducray_extra_gentle_hydrating.jpg,DUCRAY EXTRA GENTLE HYDRATING SHAMPOO 125ML,,,,1,0,/ducray_extra_gentle_hydrating.jpg,DUCRAY EXTRA GENTLE HYDRATING SHAMPOO 125ML,4/24/2016 16:34:01,xenical-120mg,xenical-120mg.html,4,1,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,all,2,1200000,88,/ducray_extra_gentle_hydrating.jpg,DUCRAY EXTRA GENTLE HYDRATING SHAMPOO 125ML,1,0
viplena-120mg,,Thuoc,simple,Làm đẹp,Default Category,base,,,,4/24/2016 13:59:32,,,,,Aknicare Cleanser dùng  tẩy tế bào chết và kháng khuẩn cho chỗ da nhờn dễ bị tổn thương. Sữa rửa mặt này là dành cho da trưởng thành cần tẩy da chết.,,,,0,/synchroline_aknicare_cleanser200ml.jpg,Aknicare Cleanser 200ml,N/A,,Aknicare Cleanser dùng  tẩy tế bào chết và kháng khuẩn cho chỗ da nhờn dễ bị tổn thương. Sữa rửa mặt này là dành cho da trưởng thành cần tẩy da chết.,Aknicare Cleanser 200ml,Aknicare Cleanser 200ml,,1550000,Use config,Use config,Aknicare Cleanser 200ml,,,Product Info Column,,290000,0,Aknicare Cleanser dùng  tẩy tế bào chết và kháng khuẩn cho chỗ da nhờn dễ bị tổn thương. Sữa rửa mặt này là dành cho da trưởng thành cần tẩy da chết.,/synchroline_aknicare_cleanser200ml.jpg,Aknicare Cleanser 200ml,,,,1,0,/synchroline_aknicare_cleanser200ml.jpg,Aknicare Cleanser 200ml,4/24/2016 16:34:01,viplena-120mg,viplena-120mg.html,4,1,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,all,2,232000,88,/synchroline_aknicare_cleanser200ml.jpg,Aknicare Cleanser 200ml,1,0
primolut-n-5mg,,Thuoc,simple,Làm đẹp,Default Category,base,,,,4/24/2016 13:59:32,,,,,"Điều trị rối loạn kinh nguyệt, vô kinh bắt đầu 8 tuần sau chu kỳ kinh cuối. Hội chứng tiền kinh nguyệt, bệnh tuyến vú.",,,,0,/dokteronline-primolut_n-1153-3-1441275003.jpg,PRIMOLUT-N 5MG,Bayer,,"Điều trị rối loạn kinh nguyệt, vô kinh bắt đầu 8 tuần sau chu kỳ kinh cuối. Hội chứng tiền kinh nguyệt, bệnh tuyến vú.",PRIMOLUT-N 5MG,PRIMOLUT-N 5MG,,50000,Use config,Use config,PRIMOLUT-N 5MG,,,Product Info Column,,1200000,0,"Điều trị rối loạn kinh nguyệt, vô kinh bắt đầu 8 tuần sau chu kỳ kinh cuối. Hội chứng tiền kinh nguyệt, bệnh tuyến vú.",/dokteronline-primolut_n-1153-3-1441275003.jpg,PRIMOLUT-N 5MG,,,,1,0,/dokteronline-primolut_n-1153-3-1441275003.jpg,PRIMOLUT-N 5MG,4/24/2016 16:34:01,viamax-volumizer,viamax-volumizer.html,4,1,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,all,2,960000,88,/dokteronline-primolut_n-1153-3-1441275003.jpg,PRIMOLUT-N 5MG,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoang-to-nu,,Thuoc,simple,Làm đẹp,Default Category,base,,,,4/24/2016 13:59:32,,,,,"Hoàng tố nữ là sản phẩm 100% tinh chất thiên nhiên, ",,,,0,/hoang-to-nu.jpg,HOÀNG TỐ NỮ,N/A,,"Hoàng tố nữ là sản phẩm 100% tinh chất thiên nhiên, được sản xuất dựa trên những kinh nghiệm bí truyền có tác dụng hỗ trợ làm giảm lượng khí hư hay huyết trắng bệnh lý, hiệu quả và an toàn với cơ thể.,",HOÀNG TỐ NỮ,HOÀNG TỐ NỮ,,110000,Use config,Use config,HOÀNG TỐ NỮ,,,Product Info Column,,90000,0,"Hoàng tố nữ là sản phẩm 100% tinh chất thiên nhiên, được sản xuất dựa trên những kinh nghiệm bí truyền có tác dụng hỗ trợ làm giảm lượng khí hư hay huyết trắng bệnh lý, hiệu quả và an toàn với cơ thể.,",/hoang-to-nu.jpg,HOÀNG TỐ NỮ,,,,1,0,/hoang-to-nu.jpg,HOÀNG TỐ NỮ,4/24/2016 16:34:01,hoang-to-nu,hoang-to-nu.html,4,1,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,all,2,72000,88,/hoang-to-nu.jpg,HOÀNG TỐ NỮ,1,0
rung-toc-nu-foltene,,Thuoc,simple,Làm đẹp,Default Category,base,,,,4/24/2016 13:59:32,,,,,Clorpheniramin Maleat 4mg,,,,0,/CLORPHENIRAMIN_4MG-HINH__18795_zoom.jpg,Clorpheniramin Maleat 4mg,N/A,,Clorpheniramin Maleat 4mg,Clorpheniramin Maleat 4mg,Clorpheniramin Maleat 4mg,,56000,Use config,Use config,Clorpheniramin Maleat 4mg,,,Product Info Column,,50000,0,Clorpheniramin Maleat 4mg,/CLORPHENIRAMIN_4MG-HINH__18795_zoom.jpg,Clorpheniramin Maleat 4mg,,,,1,0,/CLORPHENIRAMIN_4MG-HINH__18795_zoom.jpg,Clorpheniramin Maleat 4mg,4/24/2016 16:34:01,rung-toc-nu-foltene,rung-toc-nu-foltene.html,4,1,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,all,2,40000,88,/CLORPHENIRAMIN_4MG-HINH__18795_zoom.jpg,Clorpheniramin Maleat 4mg,1,0
reabilar,,Thuoc,simple,Làm đẹp,Default Category,base,,,,4/24/2016 13:59:32,,,,,"Thuốc Reabilar 100% taxifolin chống oxy hóa hoàn toàn tự nhiên, giúp củng cố hệ thống miễn dịch, đào thải chất độc trong máu và tế bào, bảo vệ tế bào nhờ hạn chế tác hại sau khi điều trị hóa, xạ trị.",,,,0,/REABILAR.jpg,REABILAR,N/A,,"Thuốc Reabilar 100% taxifolin chống oxy hóa hoàn toàn tự nhiên, giúp củng cố hệ thống miễn dịch, đào thải chất độc trong máu và tế bào, bảo vệ tế bào nhờ hạn chế tác hại sau khi điều trị hóa, xạ trị.",REABILAR,REABILAR,,1200000,Use config,Use config,REABILAR,,,Product Info Column,,110000,0,"Thuốc Reabilar 100% taxifolin chống oxy hóa hoàn toàn tự nhiên, giúp củng cố hệ thống miễn dịch, đào thải chất độc trong máu và tế bào, bảo vệ tế bào nhờ hạn chế tác hại sau khi điều trị hóa, xạ trị.",/REABILAR.jpg,REABILAR,,,,1,0,/REABILAR.jpg,REABILAR,4/24/2016 16:34:01,reabilar,reabilar.html,4,1,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,all,2,88000,88,/REABILAR.jpg,REABILAR,1,0
phu-lac-cao,,Thuoc,simple,Làm đẹp,Default Category,base,,,,4/24/2016 13:59:32,,,,,"Phụ Lạc Cao giúp điều trị hiệu quả chứng đau bụng kinh. Hiệu quả trong điều trị các chứng ứ huyết của phụ nữ dẫn đến kinh nguyệt không đều, đau bụng khi hành kinh. Hiệu quả trong điều trị chứng lạc nội mạc tử cung thể nhẹ và vừa. Phòng ngừa tái phát đối với chứng lạc nội mạc tử cung nặng đã qua phẫu thuật.,
",,,,0,/phu-lac-cao.jpg,PHỤ LẠC CAO,N/A,,"Phụ Lạc Cao giúp điều trị hiệu quả chứng đau bụng kinh. Hiệu quả trong điều trị các chứng ứ huyết của phụ nữ dẫn đến kinh nguyệt không đều, đau bụng khi hành kinh...",PHỤ LẠC CAO,PHỤ LẠC CAO,,300000,Use config,Use config,PHỤ LẠC CAO,,,Product Info Column,,300000,0,"Phụ Lạc Cao giúp điều trị hiệu quả chứng đau bụng kinh. Hiệu quả trong điều trị các chứng ứ huyết của phụ nữ dẫn đến kinh nguyệt không đều, đau bụng khi hành kinh...",/phu-lac-cao.jpg,PHỤ LẠC CAO,,,,1,0,/phu-lac-cao.jpg,PHỤ LẠC CAO,4/24/2016 16:34:01,phu-lac-cao,phu-lac-cao.html,4,1,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,all,2,240000,88,/phu-lac-cao.jpg,PHỤ LẠC CAO,1,0
tilcotil,,Thuoc,simple,Làm đẹp,Default Category,base,,,,4/24/2016 13:59:32,,,,,"Thuốc Tilcotil hộp 30 viên thành phần Tenoxicam 20mg chỉ định bệnh viêm thấp khớp mãn, nhất là viêm đa khớp dạng thấp, viêm cứng khớp",,,,0,/TILCOTIL.jpg,TILCOTIL,N/A,,TILCOTIL,TILCOTIL,TILCOTIL,,290000,Use config,Use config,TILCOTIL,,,Product Info Column,,1350000,0,"Thuốc Tilcotil hộp 30 viên thành phần Tenoxicam 20mg chỉ định bệnh viêm thấp khớp mãn, nhất là viêm đa khớp dạng thấp, viêm cứng khớp",/TILCOTIL.jpg,TILCOTIL,,,,1,0,/TILCOTIL.jpg,TILCOTIL,4/24/2016 16:34:01,tilcotil,tilcotil.html,4,1,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,all,2,1080000,88,/TILCOTIL.jpg,TILCOTIL,1,0
juvederm-voluma-with-lidocaine-1ml,,Thuoc,simple,Làm đẹp,Default Category,base,,,,4/24/2016 13:59:32,,,,,DUCRAY KERACNYL CREAM 30ML,,,,0,/du29.jpg,DUCRAY KERACNYL CREAM 30ML,N/A,,DUCRAY KERACNYL CREAM 30ML,DUCRAY KERACNYL CREAM 30ML,DUCRAY KERACNYL CREAM 30ML,,,Use config,Use config,DUCRAY KERACNYL CREAM 30ML,,,Product Info Column,,1350000,0,DUCRAY KERACNYL CREAM 30ML,/du29.jpg,DUCRAY KERACNYL CREAM 30ML,,,,1,0,/du29.jpg,DUCRAY KERACNYL CREAM 30ML,4/24/2016 16:34:01,juvederm-voluma-with-lidocaine-1ml,juvederm-voluma-with-lidocaine-1ml.html,4,1,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,all,2,1080000,88,/du29.jpg,DUCRAY KERACNYL CREAM 30ML,1,0
